Disease,Symptoms,Prevalence,Prevalence Rate_2023,Prevalence Rate_2022,Prevalence Rate_2021,Prevalence Rate_2020,Prevalence Rate_2019,Target Population 2019,Target Population 2020,Target Population 2021,Target Population 2022,Target Population 2023,Efficacy,Safety,Adverse_Events,Age_Group,Gender,Type_of_Drug,Average_therapy_cost_2019,Average_therapy_cost_2020,Average_therapy_cost_2021,Average_therapy_cost_2022,Average_therapy_cost_2023,Age_Group_Range,Market_Size_2019,Patient_Pool_2019,Market_Size_2020,Patient_Pool_2020,Market_Size_2021,Patient_Pool_2021,Market_Size_2022,Patient_Pool_2022,Market_Size_2023,Patient_Pool_2023
Acne,"Comedones (blackheads and whiteheads), papules, pustules, cysts, and possible scarring",Approximately 50 million individuals in the USA are affected annually,0.000005,0.000995,0.001995,0.002995,0.003995,103677000,102731000,101785000,100839000,99893000,Benzoyl peroxide is effective in reducing acne lesions by 5075% in many patients within 412 weeks of use,Generally considered safe for topical use; irritation can occur,"Common adverse events include skin irritation, dryness, peeling, and redness; less common are allergic reactions or significant dermatitis","Commonly used in adolescents and young adults, typically ages 1225","Affects both genders, though prevalence may vary; more common in males during adolescence",Topical medication (keratolytic agent),1515.962672,1524.950593,1473.973257,1428.935185,1543.25,1225,627895995.5,414189.615,469195799.6,307679.345,299306594.1,203061.075,143371933.1,100334.805,770799.3613,499.465
Acromegaly,"Enlarged hands and feet, facial changes, joint pain, excessive sweating, headaches, vision problems, and other hormonal issues.","Approximately 36 cases per 1 million people in the USA; around 60,000 cases may exist in the U.S.",0.00091,0.000995,0.001995,0.002995,0.003995,133877777.8,132702222.2,131526666.7,130351111.1,129175555.6,Generally effective in lowering growth hormone levels and reducing tumor size in patients with acromegaly.,"Generally welltolerated, with regular monitoring recommended to avoid complications.","Potential side effects include injection site reactions, headaches, fatigue, and gastrointestinal issues.","Primarily adults aged 3050 years, but can occur at any age.","Affects both genders, with a slight male predominance.",Longacting somatostatin analog (specific type of peptide therapy).,72364.11264,72793.14888,70359.75804,68209.87654,73666.66667,3050,38703346631,534841.7222,28931138794,397443.1556,18462097963,262395.7,8846777030,129699.3556,47579662.97,645.8777778
Anaphylaxis,"Difficulty breathing, swelling of the throat, hives, rapid pulse, low blood pressure, dizziness, gastrointestinal symptoms (nausea, vomiting), confusion, loss of consciousness",Approximately 1.6% of the population experiences anaphylaxis at some point in their lives in the USA,0.00091,0.0009536,0.0019536,0.0029536,0.0039536,346972500,343882500,340792500,337702500,334612500,Highly effective when administered promptly in treating anaphylactic reactions,"Generally safe when used as directed; however, improper administration can lead to adverse outcomes","Possible adverse events include increased heart rate, hypertension, anxiety, and injection site reactions","All age groups can be affected, but specific kits are recommended for individuals at risk",Both genders are equally affected,Small molecules (acute rescue medication),669.2043222,673.1719368,650.6685769,630.787037,681.25,0 and older,918008115.7,1371790.476,683734914.6,1015691.352,433197068.1,665772.228,203134307.5,322033.104,10577101.13,15526.02
Anxiety Disorders,"Excessive worry, nervousness, restlessness, sleep disturbances, seizures",Approximately 19% of adults in the U.S. experience anxiety disorders at some time in their lives.,0.101,0.1,0.099,0.098,0.097,284016666.7,281513333.3,279010000,276506666.7,274003333.3,"Lorazepam is effective for shortterm relief of anxiety symptoms, generally showing rapid onset of action.",Generally safe when used as prescribed; risk of dependence and withdrawal symptoms when used long term.,"Sedation, dizziness, weakness, and in rare cases, paradoxical reactions (increased anxiety/agitation).","Typically prescribed for adults, but it can also be used cautiously in older adults.","Affects both genders; however, anxiety disorders may be more prevalent in females.","Small molecule, benzodiazepine.",1006.876228,1012.84585,978.9875836,949.0740741,1025,18 and older,27739054112,27549616.67,27942701916,27588306.67,27041585244,27621990,26242530865,27650666.67,28366195083,27674336.67
Burns,"Redness, pain, swelling, blistering, and possibly peeling skin in the affected area.","Approximately 1.1 million cases of burn injuries occur annually in the USA, with varying severity.",0.00091,0.000941,0.001941,0.002941,0.003941,406000000,402400000,398800000,395200000,391600000,Generally effective in providing pain relief and promoting healing of minor burns and skin irritations.,"Considered safe when used as directed; however, caution is advised for individuals with known sensitivities.","Rare; potential skin irritation, allergies for some individuals.","Suitable for all age groups, with special considerations for very young children and elderly patients.",No specific gender preference; affects all genders equally.,Topical analgesic and skin protectant.,343.8113949,345.8498024,334.2884432,324.0740741,350,0 and older,550114047.2,1600046,409298853.8,1183458.4,258762922.7,774070.8,120517703.7,371883.2,8086540,23104.4
Chronic Sinusitis,"Nasal congestion, facial pain/pressure, nasal discharge, reduced sense of smell, cough, fatigue",Approximately 12.1% of the adult population in the USA,0.016,0.015,0.014,0.013,0.012,381740000,378360000,374980000,371600000,368220000,"Effective for symptom relief and clearance of nasal passages, especially in combination with other treatments.",Generally regarded as safe when used as directed.,"Rare instances of nasal irritation, discomfort, or sinusitis exacerbation.",All ages; often more prevalent in adults.,"Affects both genders, but may be more common in women.",Nasal irrigation solution (not classified as a traditional drug; classified under physical therapies).,122.7897839,123.5177866,119.3887297,115.7407407,125,0 and older,562485265.3,4580880,607544466.6,4918680,626757402.1,5249720,645138888.7,5574000,736440000,5891520
Common Cold,"Cough, nasal congestion, sore throat, runny nose, sneezing, headache, mild fever","Approximately 1 billion colds occur annually in the USA, affecting adults and children alike.",0.001,0,0.001,0.002,0.003,331293333.3,328353333.3,325413333.3,322473333.3,319533333.3,"Generally effective in providing symptomatic relief; however, it does not cure the cold.",Generally considered safe for shortterm use; consult with a physician for prolonged use.,"Drowsiness, dizziness, dry mouth, nausea, and gastrointestinal discomfort; side effects vary by individual.",Typically used in adults and children aged 12 and older; specific formulations may be available for younger children.,No significant gender differences in usage or efficacy.,Combination overthecounter (OTC) cough and cold medication.,36.01833661,36.23188406,35.02069405,33.95061728,36.66666667,12 and older,35797904.39,993880,23793719.81,656706.6667,11396200.79,325413.3333,11432127.22,11514084.22,11716222.22,319533.3333
Contact Dermatitis,"Redness, itching, burning sensations, rash, dry skin",Approximately 1520% of the U.S. population experiences contact dermatitis at some point in their lives.,0.0012,0.0002,0.0008,0.0018,0.0028,406000000,402400000,398800000,395200000,391600000,Generally effective in cleansing affected areas and preventing further irritation.,"Considered safe for topical use; however, additional factors such as individual skin sensitivity should be taken into account.","Possible local irritation, allergic reactions, and dryness.","All ages, although more common in adults due to occupational exposure.","Equal prevalence in both males and females, with slight variation depending on occupation and exposure risks.",Topical cleanser.,343.8113949,345.8498024,334.2884432,324.0740741,350,0 and older,390844793.7,1136800,250505928.9,724320,106651384.9,319040,25614814.82,79040,164472000,469920
Cystinosis,"Growth failure, renal tubular Fanconi syndrome, ocular symptoms (corneal deposits leading to photophobia and tearing), hypothyroidism, and muscle weakness.","Approximately 2,000 patients in the USA.",0.00091,0.0009245,0.0019245,0.0029245,0.0039245,196620000,194820000,193020000,191220000,189420000,High efficacy in reducing cystine levels and preventing organ damage; effective in delaying renal failure.,Generally safe when monitored; main concern is adherence to dosing regimen to avoid toxicity.,"Common adverse events include headache, abdominal pain, nausea, vomiting, and potential renal impairment.",Primarily children and young adults; can be prescribed at any age after diagnosis.,Both males and females are affected equally.,Small molecule drug (cystinedepleting agent).,140901.277,141736.6601,136998.5673,132812.5,143437.5,035,1.08724E+11,771635.19,80754616585,569751.09,50890445429,371466.99,23478977578,176782.89,2051329809,14301.21
Dehydration,"Thirst, dry mouth, fatigue, dizziness, confusion, muscle cramps, low blood pressure",Common in various populations; specific prevalence rates depend on underlying conditions but dehydration can affect millions annually in the USA.,0.2,0.199,0.198,0.197,0.196,369010909.1,365732121.2,362453333.3,359174545.5,355895757.6,High efficacy in restoring fluid and electrolyte balance; widely used in clinical settings.,Generally welltolerated; low risk of serious side effects when used appropriately.,"Possible rare adverse events include fluid overload, electrolyte imbalances, and vein irritation at the injection site.",Used across all age groups; particularly important for elderly and pediatric patients.,No significant gender predilection; applicable to all genders equally.,Electrolyte solution (IV infusion),485.2056915,488.0824051,471.7663743,457.3512907,493.9393939,0 and older,35093053890,72326138.18,35165960429,72049227.88,33856672394,71765760,32689519448,71475734.55,35158186958,71179151.52
