TradeName_drug_sales,Drug Name,Manufacturer,Disease(s),2019 Sales (USD),2020 Sales (USD),2021 Sales (USD),2022 Sales (USD),2023 Sales (USD),Country,TradeName_disease_info,Price (in USD),Disease(disease_data),Symptoms,Prevalence,Prevalence_Decimal,Quality_of_Life,Morbidity,Mortality,Efficacy,Safety,Adverse_Events,Annual_Therapy_Costs,Average_therapy_cost_2019,Average_therapy_cost_2020,Average_therapy_cost_2021,Average_therapy_cost_2022,Average_therapy_cost_2023,Age_Group,Gender,Type_of_Drug,Age_Group_Range,Target Population 2019,Target Population 2020,Target Population 2021,Target Population 2022,Target Population 2023,Market_Size_2019,Patient_Pool_2019,Market_Size_2020,Patient_Pool_2020,Market_Size_2021,Patient_Pool_2021,Market_Size_2022,Patient_Pool_2022,Market_Size_2023,Patient_Pool_2023,Adoption_Rate_2019,Adoption_Rate_2020,Adoption_Rate_2021,Adoption_Rate_2022,Adoption_Rate_2023,Total_Adoption_Rate_2019,Revenue_2019_Indication,Total_Adoption_Rate_2020,Revenue_2020_Indication,Total_Adoption_Rate_2021,Revenue_2021_Indication,Total_Adoption_Rate_2022,Revenue_2022_Indication,Total_Adoption_Rate_2023,Revenue_2023_Indication
KEYTRUDA 100MG INJ,Keytruda,Merck,melanoma,11.1,14.4,17.2,20.9,25,USA,KEYTRUDA 100MG INJ,5317.27,Melasma,"Skin changes or moles that change in appearance, persistent cough, chest pain, difficulty swallowing, fatigue, weight loss, and swollen lymph nodes (vary by cancer type)","Approximately 1.3% for melanoma; around 228,000 new cases of non-small cell lung cancer annually in the USA",0.000225,"Patients often experience improved quality of life with successful treatment, but some may face significant physical and psychological challenges during therapy",0.3,203.05,Approximately 40% overall response rate in advanced melanoma; can lead to durable responses in many patients,Generally well-tolerated but can cause immune-related adverse events; ongoing monitoring is recommended,"Commonly reported adverse events include fatigue (30%), rash (24%), pruritus (19%), diarrhea (14%), and pneumonitis (10%)","Approximately $150,000 to $200,000 per year depending on treatment regimen and duration",114792.8201,115473.41,111613.2673,108202.862,116859.0909,Approved for adults and pediatric patients (12 years and older); older adults often represent a significant patient population,"Effective in both males and females, with some studies suggesting varied efficacy may exist but not consistently significant",Monoclonal antibody (immune checkpoint inhibitor),18 and older,307280000,304600000,301920000,299240000,296560000,7936545996,69138,7913970154,68535,7582112474,67932,7285190496,67329,7797539699,66726,0.000160548,0.000210112,0.000253194,0.000310416,0.000374667,0.000642194,2.775,0.000840446,3.6,0.001012777,4.3,0.001241664,5.225,0.001498666,6.25
KEYTRUDA 100MG INJ,Keytruda,Merck,non-small cell lung cancer,11.1,14.4,17.2,20.9,25,USA,KEYTRUDA 100MG INJ,5317.27,Melasma,"Skin changes or moles that change in appearance, persistent cough, chest pain, difficulty swallowing, fatigue, weight loss, and swollen lymph nodes (vary by cancer type)","Approximately 1.3% for melanoma; around 228,000 new cases of non-small cell lung cancer annually in the USA",0.000225,"Patients often experience improved quality of life with successful treatment, but some may face significant physical and psychological challenges during therapy",0.3,203.05,Approximately 40% overall response rate in advanced melanoma; can lead to durable responses in many patients,Generally well-tolerated but can cause immune-related adverse events; ongoing monitoring is recommended,"Commonly reported adverse events include fatigue (30%), rash (24%), pruritus (19%), diarrhea (14%), and pneumonitis (10%)","Approximately $150,000 to $200,000 per year depending on treatment regimen and duration",114792.8201,115473.41,111613.2673,108202.862,116859.0909,Approved for adults and pediatric patients (12 years and older); older adults often represent a significant patient population,"Effective in both males and females, with some studies suggesting varied efficacy may exist but not consistently significant",Monoclonal antibody (immune checkpoint inhibitor),18 and older,307280000,304600000,301920000,299240000,296560000,7936545996,69138,7913970154,68535,7582112474,67932,7285190496,67329,7797539699,66726,0.000160548,0.000210112,0.000253194,0.000310416,0.000374667,0.000642194,2.775,0.000840446,3.6,0.001012777,4.3,0.001241664,5.225,0.001498666,6.25
KEYTRUDA 100MG INJ,Keytruda,Merck,head and neck cancers,11.1,14.4,17.2,20.9,25,USA,KEYTRUDA 100MG INJ,5317.27,Melasma,"Skin changes or moles that change in appearance, persistent cough, chest pain, difficulty swallowing, fatigue, weight loss, and swollen lymph nodes (vary by cancer type)","Approximately 1.3% for melanoma; around 228,000 new cases of non-small cell lung cancer annually in the USA",0.000225,"Patients often experience improved quality of life with successful treatment, but some may face significant physical and psychological challenges during therapy",0.3,203.05,Approximately 40% overall response rate in advanced melanoma; can lead to durable responses in many patients,Generally well-tolerated but can cause immune-related adverse events; ongoing monitoring is recommended,"Commonly reported adverse events include fatigue (30%), rash (24%), pruritus (19%), diarrhea (14%), and pneumonitis (10%)","Approximately $150,000 to $200,000 per year depending on treatment regimen and duration",114792.8201,115473.41,111613.2673,108202.862,116859.0909,Approved for adults and pediatric patients (12 years and older); older adults often represent a significant patient population,"Effective in both males and females, with some studies suggesting varied efficacy may exist but not consistently significant",Monoclonal antibody (immune checkpoint inhibitor),18 and older,307280000,304600000,301920000,299240000,296560000,7936545996,69138,7913970154,68535,7582112474,67932,7285190496,67329,7797539699,66726,0.000160548,0.000210112,0.000253194,0.000310416,0.000374667,0.000642194,2.775,0.000840446,3.6,0.001012777,4.3,0.001241664,5.225,0.001498666,6.25
KEYTRUDA 100MG INJ,Keytruda,Merck,lymphoma,11.1,14.4,17.2,20.9,25,USA,KEYTRUDA 100MG INJ,5317.27,Melasma,"Skin changes or moles that change in appearance, persistent cough, chest pain, difficulty swallowing, fatigue, weight loss, and swollen lymph nodes (vary by cancer type)","Approximately 1.3% for melanoma; around 228,000 new cases of non-small cell lung cancer annually in the USA",0.000225,"Patients often experience improved quality of life with successful treatment, but some may face significant physical and psychological challenges during therapy",0.3,203.05,Approximately 40% overall response rate in advanced melanoma; can lead to durable responses in many patients,Generally well-tolerated but can cause immune-related adverse events; ongoing monitoring is recommended,"Commonly reported adverse events include fatigue (30%), rash (24%), pruritus (19%), diarrhea (14%), and pneumonitis (10%)","Approximately $150,000 to $200,000 per year depending on treatment regimen and duration",114792.8201,115473.41,111613.2673,108202.862,116859.0909,Approved for adults and pediatric patients (12 years and older); older adults often represent a significant patient population,"Effective in both males and females, with some studies suggesting varied efficacy may exist but not consistently significant",Monoclonal antibody (immune checkpoint inhibitor),18 and older,307280000,304600000,301920000,299240000,296560000,7936545996,69138,7913970154,68535,7582112474,67932,7285190496,67329,7797539699,66726,0.000160548,0.000210112,0.000253194,0.000310416,0.000374667,0.000642194,2.775,0.000840446,3.6,0.001012777,4.3,0.001241664,5.225,0.001498666,6.25
ABILIFY 5MG TAB,Abilify,Otsuka Pharmaceutical,Schizophrenia,7.2,6.7,6.3,6,5.8,USA,ABILIFY 5MG TAB,566.2,Bipolar Disorder,"Delusions, hallucinations, disorganized thinking, mood swings, depressive episodes, irritability",Approximately 1% for schizophrenia and 2.8% for bipolar disorder in the USA,0.028,"Can improve significantly with effective management, though some patients may still face challenges in social and occupational functioning",60.4,25.15,Efficacy of Aripiprazole (ABILIFY) in managing schizophrenia ranges between 50-60% improvement in symptoms; 40% for bipolar depression,Generally well-tolerated; risk of extrapyramidal symptoms is lower compared to typical antipsychotics,"Common adverse events include insomnia, akathisia, restlessness, nausea, and weight gain; very rarely, tardive dyskinesia","Approximately $1,800 to $3,500 depending on insurance and dosages",5571.767017,5604.801209,5417.439182,5251.906318,5672.058824,Approved for use in adolescents (13-17 years) and adults,Used in both male and female patients; no significant gender predisposition noted,Atypical antipsychotic (small molecule),18 and older,307280000,304600000,301920000,299240000,296560000,47938591932,8603840,47802228551,8528800,45797730659,8453760,44004252505,8378720,47098961416,8303680,8.37E-07,7.86E-07,7.45E-07,7.16E-07,6.98E-07,2.51E-06,2.4,2.36E-06,2.233333333,2.24E-06,2.1,2.15E-06,2,2.10E-06,1.933333333
ABILIFY 5MG TAB,Abilify,Otsuka Pharmaceutical,bipolar disorder,7.2,6.7,6.3,6,5.8,USA,ABILIFY 5MG TAB,566.2,Bipolar Disorder,"Delusions, hallucinations, disorganized thinking, mood swings, depressive episodes, irritability",Approximately 1% for schizophrenia and 2.8% for bipolar disorder in the USA,0.028,"Can improve significantly with effective management, though some patients may still face challenges in social and occupational functioning",60.4,25.15,Efficacy of Aripiprazole (ABILIFY) in managing schizophrenia ranges between 50-60% improvement in symptoms; 40% for bipolar depression,Generally well-tolerated; risk of extrapyramidal symptoms is lower compared to typical antipsychotics,"Common adverse events include insomnia, akathisia, restlessness, nausea, and weight gain; very rarely, tardive dyskinesia","Approximately $1,800 to $3,500 depending on insurance and dosages",5571.767017,5604.801209,5417.439182,5251.906318,5672.058824,Approved for use in adolescents (13-17 years) and adults,Used in both male and female patients; no significant gender predisposition noted,Atypical antipsychotic (small molecule),18 and older,307280000,304600000,301920000,299240000,296560000,47938591932,8603840,47802228551,8528800,45797730659,8453760,44004252505,8378720,47098961416,8303680,8.37E-07,7.86E-07,7.45E-07,7.16E-07,6.98E-07,2.51E-06,2.4,2.36E-06,2.233333333,2.24E-06,2.1,2.15E-06,2,2.10E-06,1.933333333
ABILIFY 5MG TAB,Abilify,Otsuka Pharmaceutical,major depressive disorder,7.2,6.7,6.3,6,5.8,USA,ABILIFY 5MG TAB,566.2,Bipolar Disorder,"Delusions, hallucinations, disorganized thinking, mood swings, depressive episodes, irritability",Approximately 1% for schizophrenia and 2.8% for bipolar disorder in the USA,0.028,"Can improve significantly with effective management, though some patients may still face challenges in social and occupational functioning",60.4,25.15,Efficacy of Aripiprazole (ABILIFY) in managing schizophrenia ranges between 50-60% improvement in symptoms; 40% for bipolar depression,Generally well-tolerated; risk of extrapyramidal symptoms is lower compared to typical antipsychotics,"Common adverse events include insomnia, akathisia, restlessness, nausea, and weight gain; very rarely, tardive dyskinesia","Approximately $1,800 to $3,500 depending on insurance and dosages",5571.767017,5604.801209,5417.439182,5251.906318,5672.058824,Approved for use in adolescents (13-17 years) and adults,Used in both male and female patients; no significant gender predisposition noted,Atypical antipsychotic (small molecule),18 and older,307280000,304600000,301920000,299240000,296560000,47938591932,8603840,47802228551,8528800,45797730659,8453760,44004252505,8378720,47098961416,8303680,8.37E-07,7.86E-07,7.45E-07,7.16E-07,6.98E-07,2.51E-06,2.4,2.36E-06,2.233333333,2.24E-06,2.1,2.15E-06,2,2.10E-06,1.933333333
OPDIVO 120MG VIAL,Opdivo,Bristol-Myers Squibb,melanoma,7.5,8,8.4,8.9,9.5,USA,OPDIVO 120MG VIAL,3592.01,Melasma,"Varies by cancer type; melanoma may present as changing moles, lung cancer symptoms may include cough, chest pain, and shortness of breath, kidney cancer may present with blood in urine and flank pain, head and neck cancer may cause sore throat, difficulty swallowing, and lumps in the neck.","Melanoma: approximately 22.5 per 100,000; NSCLC: around 36,000 deaths annually; Renal Cell Carcinoma: about 76,000 new cases annually; SCC of the head and neck: around 54,540 new cases annually.",0.000225,Generally improved for patients responding to therapy; varies significantly with progression and stage of disease.,204030.3,771841322.1,"Overall response rate approximately 30-50% in solid tumors, with durable responses seen in many patients.",Generally well tolerated; most patients experience mild to moderate side effects; serious adverse effects reported in about 5-10% of cases.,"Fatigue, rash, pruritus, colitis, hepatitis, endocrinopathies, and pneumonitis; severe reactions can occur but are infrequent.","Approximately $150,000 - $200,000 annually depending on treatment protocol and patient response.",114792.8201,115473.41,111613.2673,108202.862,116859.0909,Typically prescribed for adults aged 18 and older.,"Can affect any gender, though melanoma has higher rates in males; lung and renal cancers also show similar demography across genders.",Monoclonal antibody (anti-PD-1 therapy).,18 and older,307280000,304600000,301920000,299240000,296560000,7936545996,69138,7913970154,68535,7582112474,67932,7285190496,67329,7797539699,66726,0.000108479,0.000116729,0.000123653,0.000132187,0.000142373,0.000325436,2.5,0.000350186,2.666666667,0.000370959,2.8,0.00039656,2.966666667,0.00042712,3.166666667
OPDIVO 120MG VIAL,Opdivo,Bristol-Myers Squibb,lung cancer,7.5,8,8.4,8.9,9.5,USA,OPDIVO 120MG VIAL,3592.01,Melasma,"Varies by cancer type; melanoma may present as changing moles, lung cancer symptoms may include cough, chest pain, and shortness of breath, kidney cancer may present with blood in urine and flank pain, head and neck cancer may cause sore throat, difficulty swallowing, and lumps in the neck.","Melanoma: approximately 22.5 per 100,000; NSCLC: around 36,000 deaths annually; Renal Cell Carcinoma: about 76,000 new cases annually; SCC of the head and neck: around 54,540 new cases annually.",0.000225,Generally improved for patients responding to therapy; varies significantly with progression and stage of disease.,204030.3,771841322.1,"Overall response rate approximately 30-50% in solid tumors, with durable responses seen in many patients.",Generally well tolerated; most patients experience mild to moderate side effects; serious adverse effects reported in about 5-10% of cases.,"Fatigue, rash, pruritus, colitis, hepatitis, endocrinopathies, and pneumonitis; severe reactions can occur but are infrequent.","Approximately $150,000 - $200,000 annually depending on treatment protocol and patient response.",114792.8201,115473.41,111613.2673,108202.862,116859.0909,Typically prescribed for adults aged 18 and older.,"Can affect any gender, though melanoma has higher rates in males; lung and renal cancers also show similar demography across genders.",Monoclonal antibody (anti-PD-1 therapy).,18 and older,307280000,304600000,301920000,299240000,296560000,7936545996,69138,7913970154,68535,7582112474,67932,7285190496,67329,7797539699,66726,0.000108479,0.000116729,0.000123653,0.000132187,0.000142373,0.000325436,2.5,0.000350186,2.666666667,0.000370959,2.8,0.00039656,2.966666667,0.00042712,3.166666667
OPDIVO 120MG VIAL,Opdivo,Bristol-Myers Squibb,renal cell carcinoma,7.5,8,8.4,8.9,9.5,USA,OPDIVO 120MG VIAL,3592.01,Melasma,"Varies by cancer type; melanoma may present as changing moles, lung cancer symptoms may include cough, chest pain, and shortness of breath, kidney cancer may present with blood in urine and flank pain, head and neck cancer may cause sore throat, difficulty swallowing, and lumps in the neck.","Melanoma: approximately 22.5 per 100,000; NSCLC: around 36,000 deaths annually; Renal Cell Carcinoma: about 76,000 new cases annually; SCC of the head and neck: around 54,540 new cases annually.",0.000225,Generally improved for patients responding to therapy; varies significantly with progression and stage of disease.,204030.3,771841322.1,"Overall response rate approximately 30-50% in solid tumors, with durable responses seen in many patients.",Generally well tolerated; most patients experience mild to moderate side effects; serious adverse effects reported in about 5-10% of cases.,"Fatigue, rash, pruritus, colitis, hepatitis, endocrinopathies, and pneumonitis; severe reactions can occur but are infrequent.","Approximately $150,000 - $200,000 annually depending on treatment protocol and patient response.",114792.8201,115473.41,111613.2673,108202.862,116859.0909,Typically prescribed for adults aged 18 and older.,"Can affect any gender, though melanoma has higher rates in males; lung and renal cancers also show similar demography across genders.",Monoclonal antibody (anti-PD-1 therapy).,18 and older,307280000,304600000,301920000,299240000,296560000,7936545996,69138,7913970154,68535,7582112474,67932,7285190496,67329,7797539699,66726,0.000108479,0.000116729,0.000123653,0.000132187,0.000142373,0.000325436,2.5,0.000350186,2.666666667,0.000370959,2.8,0.00039656,2.966666667,0.00042712,3.166666667
