TradeName,Manufacturer,Price (in USD),2019 Sales (USD),2020 Sales (USD),2021 Sales (USD),2022 Sales (USD),2023 Sales (USD),Country,Disease,Symptoms,Prevalence,Prevalence_Decimal,Quality_of_Life,Morbidity,Mortality,Efficacy,Safety,Adverse_Events,Average_therapy_cost_2019,Average_therapy_cost_2020,Average_therapy_cost_2021,Average_therapy_cost_2022,Average_therapy_cost_2023,Age_Group,Gender,Type_of_Drug,Age_Group_Range,Target Population 2019,Target Population 2020,Target Population 2021,Target Population 2022,Target Population 2023,Market_Size_2019,Patient_Pool_2019,Market_Size_2020,Patient_Pool_2020,Market_Size_2021,Patient_Pool_2021,Market_Size_2022,Patient_Pool_2022,Market_Size_2023,Patient_Pool_2023,Drug_Count,Adoption_Rate_2019,Adoption_Rate_2020,Adoption_Rate_2021,Adoption_Rate_2022,Adoption_Rate_2023,Total_Patient_Pool_2019,Revenue_2019_Disease,Total_Patient_Pool_2020,Revenue_2020_Disease,Total_Patient_Pool_2021,Revenue_2021_Disease,Total_Patient_Pool_2022,Revenue_2022_Disease,Total_Patient_Pool_2023,Revenue_2023_Disease
taltz ,Eli Lilly,6067.36,1,1.2,1.5,1.8,2,USA,psoriatic arthritis,"Joint pain, stiffness, swelling, fatigue, plantar fasciitis, reduced range of motion, skin lesions, nail changes",Approximately 0.1% to 0.3% of the population in the USA is affected; about 50% of people with psoriasis may develop psoriatic arthritis.,0.003,"Psoriatic arthritis significantly impacts quality of life due to chronic pain, functional impairment, and psychological burden; many patients report a reduced quality of life compared to healthy individuals.",0.3,0.13,"Clinical studies show that TALTZ can reduce signs and symptoms in 70% of patients, demonstrating strong efficacy in managing psoriatic arthritis.",Generally well-tolerated; monitors for infections are recommended due to immunosuppressive effects but overall seen as safe for the majority of patients.,"Common adverse events include injection site reactions, upper respiratory infections, nausea, and potential risk of serious infections (approximately 1-2%).",38542.64312,39005.15483,40838.39711,44105.46888,45913.7931,Approved for adults aged 18 years and older.,"Affects both genders, but there is a slight male predominance in psoriatic arthritis prevalence.","Monoclonal antibody (specifically, IL-17A inhibitor).",5 and older,319900310.1,320670254.8,321730254.8,322830254.8,324830254.8,36989410458,959700.9303,37523378814,962010.7644,39416843723,965190.7644,42715739270,968490.7644,44742567335,974490.7644,1,1.0419912791867383e-06,1.2473872896302072e-06,1.5540969260438976e-06,1.8585618636385624e-06,2.052353981242102e-06,959700.9303,1,962010.7644,1.2,965190.7644,1.5,968490.7644,1.8,974490.7644,2
keytruda,Merck,5317.27,11.1,14.4,17.2,20.9,25,USA,melanoma,"Skin changes or moles that change in appearance, persistent cough, chest pain, difficulty swallowing, fatigue, weight loss, and swollen lymph nodes (vary by cancer type)","Approximately 1.3% for melanoma; around 228,000 new cases of non-small cell lung cancer annually in the USA",0.000225,"Patients often experience improved quality of life with successful treatment, but some may face significant physical and psychological challenges during therapy",0.3,203.05,Approximately 40% overall response rate in advanced melanoma; can lead to durable responses in many patients,Generally well-tolerated but can cause immune-related adverse events; ongoing monitoring is recommended,"Commonly reported adverse events include fatigue (30%), rash (24%), pruritus (19%), diarrhea (14%), and pneumonitis (10%)",102165.3831,103391.3677,108250.762,116910.8229,121704.1667,Approved for adults and pediatric patients (12 years and older); older adults often represent a significant patient population,"Effective in both males and females, with some studies suggesting varied efficacy may exist but not consistently significant",Monoclonal antibody (immune checkpoint inhibitor),12 and older,278538642.7,279518251.9,280578251.9,281678251.9,283678251.9,6402826606,62671.19461,6502449231,62891.60668,6833882153,63130.10668,7409528150,63377.60668,7768085683,63827.60668,2,0.000177115,0.000228965,0.000272453,0.000329769,0.00039168,216728.1583,3.2097825478494926,217523.4233,4.163409726345863,218397.9233,4.971832234429661,219305.4233,6.039941738790547,220535.4233,7.2355277137226715
vraylar,AbbVie,861.52,0.6,0.8,1,1.3,1.5,USA,bipolar disorder,"For Bipolar I Disorder, symptoms include episodes of mania, hypomania, and depression. For Schizophrenia, symptoms include delusions, hallucinations, disorganized thinking, and negative symptoms such as flat affect and social withdrawal.",Bipolar I Disorder affects approximately 2.8% of adults in the USA. Schizophrenia affects about 1.1% of the population.,0.028,"Individuals with Bipolar I Disorder and Schizophrenia often experience a significant impairment in quality of life, affecting personal, social, and occupational functioning.",60.75,15.1,"Clinical studies show VRAYLAR is effective in reducing manic and depressive symptoms in Bipolar I Disorder and reducing the severity of psychotic symptoms in Schizophrenia, with efficacy rates around 50-70% depending on the condition and assessed symptoms.","Generally considered safe for use; however, it should be used with caution in patients with a history of seizures, cardiovascular disease, or metabolic issues.","Common adverse events include nausea, sedation, akathisia, insomnia, and weight gain. Serious effects can include extrapyramidal symptoms and tardive dyskinesia.",5110.471891,5171.797553,5414.872038,5848.061801,6087.832335,Approved for use in adults and adolescents aged 13 years and older for Bipolar I Disorder; safety and efficacy have not been established for children under 13.,"Prescriptions are given to both males and females, with a slight female predominance for Bipolar Disorder and male predominance for Schizophrenia in the USA.",Atypical antipsychotic (small molecule).,5 and older,319900310.1,320670254.8,321730254.8,322830254.8,324830254.8,45775563195,8957208.683,46436365895,8978767.134,48779588494,9008447.134,52862075876,9039247.134,55370339600,9095247.134,2,6.698515366200461e-05,8.909909211644337e-05,1.1100692328884985e-07,1.4381728706726972e-07,1.6492130206409753e-07,59662440.86,90.07886925278174,59868638.63,119.97957313030822,60100778.63,0.14988902537951102,60341678.63,0.19474137180497317,60699458.63,0.22476099471104877
abilify ,Otsuka Pharmaceutical,566.2,7.2,6.7,6.3,6,5.8,USA,bipolar disorder,"Delusions, hallucinations, disorganized thinking, mood swings, depressive episodes, irritability",Approximately 1% for schizophrenia and 2.8% for bipolar disorder in the USA,0.028,"Can improve significantly with effective management, though some patients may still face challenges in social and occupational functioning",60.4,25.15,Efficacy of Aripiprazole (ABILIFY) in managing schizophrenia ranges between 50-60% improvement in symptoms; 40% for bipolar depression,Generally well-tolerated; risk of extrapyramidal symptoms is lower compared to typical antipsychotics,"Common adverse events include insomnia, akathisia, restlessness, nausea, and weight gain; very rarely, tardive dyskinesia",5110.471891,5171.797553,5414.872038,5848.061801,6087.832335,Approved for use in adolescents (13-17 years) and adults,Used in both male and female patients; no significant gender predisposition noted,Atypical antipsychotic (small molecule),5 and older,319900310.1,320670254.8,321730254.8,322830254.8,324830254.8,45775563195,8957208.683,46436365895,8978767.134,48779588494,9008447.134,52862075876,9039247.134,55370339600,9095247.134,2,8.038218439440555e-07,7.462048964752132e-07,6.993436167197539e-07,6.637720941566294e-07,6.376957013145104e-07,8957208.683,7.2,8978767.134,6.7,9008447.134,6.3,9039247.134,6,9095247.134,5.8
lyrica ,Pfizer,905.03,4.9,4.8,4.6,4.3,4,USA,neuropathic pain,"Chronic pain, fatigue, sleep disturbances, anxiety, tenderness in various body parts",Approximately 2% for fibromyalgia and about 3-8% for neuropathic pain in the USA,0.085,Patients often report decreased quality of life due to chronic pain and associated symptoms,20.3,0.05,Clinical studies show LYRICA reduces pain levels by approximately 30-50% in fibromyalgia and neuropathic pain patients,Generally well-tolerated; common side effects do not typically lead to severe complications,"Dizziness, sedation, weight gain, peripheral edema, and dry mouth",4769.807928,4827.045624,5053.916768,5458.230109,5682.017544,Typically prescribed for adults aged 18-65,"More common in females, especially for fibromyalgia (approximately 80% are female)",Small molecule anticonvulsant and analgesic,10 and older,300048167.7,300867606.2,301927606.2,303027606.2,305027606.2,1.2165E+11,25504094.25,1.23446E+11,25573746.53,1.29703E+11,25663846.53,1.4059E+11,25757346.53,1.4732E+11,25927346.53,1,1.921260151842261e-07,1.876924835761668e-07,1.7924047337021389e-07,1.6694266218348804e-07,1.542772607229403e-07,25504094.25,4.9,25573746.53,4.8,25663846.53,4.6,25757346.53,4.3,25927346.53,4
opdivo,Bristol-Myers Squibb,3592.01,7.5,8,8.4,8.9,9.5,USA,melanoma,"Varies by cancer type; melanoma may present as changing moles, lung cancer symptoms may include cough, chest pain, and shortness of breath, kidney cancer may present with blood in urine and flank pain, head and neck cancer may cause sore throat, difficulty swallowing, and lumps in the neck.","Melanoma: approximately 22.5 per 100,000; NSCLC: around 36,000 deaths annually; Renal Cell Carcinoma: about 76,000 new cases annually; SCC of the head and neck: around 54,540 new cases annually.",0.000225,Generally improved for patients responding to therapy; varies significantly with progression and stage of disease.,204030.3,771841322.1,"Overall response rate approximately 30-50% in solid tumors, with durable responses seen in many patients.",Generally well tolerated; most patients experience mild to moderate side effects; serious adverse effects reported in about 5-10% of cases.,"Fatigue, rash, pruritus, colitis, hepatitis, endocrinopathies, and pneumonitis; severe reactions can occur but are infrequent.",102165.3831,103391.3677,108250.762,116910.8229,121704.1667,Typically prescribed for adults aged 18 and older.,"Can affect any gender, though melanoma has higher rates in males; lung and renal cancers also show similar demography across genders.",Monoclonal antibody (anti-PD-1 therapy).,12 and older,278538642.7,279518251.9,280578251.9,281678251.9,283678251.9,6402826606,62671.19461,6502449231,62891.60668,6833882153,63130.10668,7409528150,63377.60668,7768085683,63827.60668,2,0.000119672,0.000127203,0.000133059,0.000140428,0.000148838,128406.31429000001,3.6605206073702026,128857.91412999999,3.9045553145645973,129346.5741,4.099783080292704,129853.6741,4.343817787,130775.6741,4.636659436
opdivo ,Bristol-Myers Squibb,3592.01,7.5,8,8.4,8.9,9.5,USA,non-small cell lung cancer,"Varies by cancer type; melanoma may present as changing moles, lung cancer symptoms may include cough, chest pain, and shortness of breath, kidney cancer may present with blood in urine and flank pain, head and neck cancer may cause sore throat, difficulty swallowing, and lumps in the neck.","Melanoma: approximately 22.5 per 100,000; NSCLC: around 36,000 deaths annually; Renal Cell Carcinoma: about 76,000 new cases annually; SCC of the head and neck: around 54,540 new cases annually.",0.0006,Generally improved for patients responding to therapy; varies significantly with progression and stage of disease.,204030.3,771841322.1,"Overall response rate approximately 30-50% in solid tumors, with durable responses seen in many patients.",Generally well tolerated; most patients experience mild to moderate side effects; serious adverse effects reported in about 5-10% of cases.,"Fatigue, rash, pruritus, colitis, hepatitis, endocrinopathies, and pneumonitis; severe reactions can occur but are infrequent.",91123.02921,92216.50556,96550.68132,104274.7358,108550,Typically prescribed for adults aged 18 and older.,"Can affect any gender, though melanoma has higher rates in males; lung and renal cancers also show similar demography across genders.",Monoclonal antibody (anti-PD-1 therapy).,20 and older,256761606.1,257719694.4,258779694.4,259879694.4,261179694.4,14038137200,154056.9637,14259605779,154631.8166,14991213484,155267.8166,16259331884,155927.8166,17010633496,156707.8166,2,4.86832910490974e-05,5.173579521881248e-05,5.410007161674738e-05,5.707769268999624e-05,6.0622374835481606e-05,154056.9637,7.5,154631.8166,8,155267.8166,8.4,155927.8166,8.9,156707.8166,9.5
opdivo,Bristol-Myers Squibb,3592.01,7.5,8,8.4,8.9,9.5,USA,renal cell carcinoma,"Varies by cancer type; melanoma may present as changing moles, lung cancer symptoms may include cough, chest pain, and shortness of breath, kidney cancer may present with blood in urine and flank pain, head and neck cancer may cause sore throat, difficulty swallowing, and lumps in the neck.","Melanoma: approximately 22.5 per 100,000; NSCLC: around 36,000 deaths annually; Renal Cell Carcinoma: about 76,000 new cases annually; SCC of the head and neck: around 54,540 new cases annually.",0.000236,Generally improved for patients responding to therapy; varies significantly with progression and stage of disease.,204030.3,771841322.1,"Overall response rate approximately 30-50% in solid tumors, with durable responses seen in many patients.",Generally well tolerated; most patients experience mild to moderate side effects; serious adverse effects reported in about 5-10% of cases.,"Fatigue, rash, pruritus, colitis, hepatitis, endocrinopathies, and pneumonitis; severe reactions can occur but are infrequent.",88500.72625,89562.73497,93772.18351,101273.9582,105426.1905,Typically prescribed for adults aged 18 and older.,"Can affect any gender, though melanoma has higher rates in males; lung and renal cancers also show similar demography across genders.",Monoclonal antibody (anti-PD-1 therapy).,12 and older,278538642.7,279518251.9,280578251.9,281678251.9,283678251.9,5817605832,65735.11968,5908122911,65966.30745,6209262737,66216.46745,6732294476,66476.06745,7058079712,66948.06745,1,0.000114094,0.000121274,0.000126857,0.000133883,0.000141901,128406.31429000001,3.8394793926297965,128857.91412999999,4.095444685435402,129346.5741,4.300216919707296,129853.6741,4.556182213,130775.6741,4.863340564
keytruda,Merck,5317.27,11.1,14.4,17.2,20.9,25,USA,non-small cell lung cancer,"Persistent cough, chest pain, shortness of breath, weight loss, fatigue, coughing up blood","Approximately 228,000 new cases in the USA annually (2020 data)",0.0006,"Can vary; effective treatment may improve quality of life; however, the disease often leads to significant physical and emotional challenges.",0.6,2.15,"Clinical studies show that VOYDEYA (mobocertinib) is effective in targeting specific mutations in NSCLC, leading to overall response rates of approximately 45%.","Generally well-tolerated, though with potential side effects that need monitoring; used in targeted therapy for specific patient populations.","Common adverse events include diarrhea (73%), rash (36%), and fatigue (31%). Serious adverse events occur in about 10-20% of patients.",91123.02921,92216.50556,96550.68132,104274.7358,108550,"Primarily adults, commonly diagnosed in individuals aged 60 and older.","Occurs in both genders, but slightly more common in males.",Small molecule targeted therapy (tyrosine kinase inhibitor).,20 and older,256761606.1,257719694.4,258779694.4,259879694.4,261179694.4,14038137200,154056.9637,14259605779,154631.8166,14991213484,155267.8166,16259331884,155927.8166,17010633496,156707.8166,2,7.205127075266415e-05,9.312443139386246e-05,0.000110776,0.000134036,0.000159533,216728.1583,7.890217452150506,217523.4233,10.236590273654137,218397.9233,12.228167765570339,219305.4233,14.860058261209453,220535.4233,17.76447228627733
vraylar,AbbVie,114.99,0.6,0.8,1,1.3,1.5,USA,schizophrenia,Anxiety Disorders,"Anxiety, agitation, insomnia, muscle tension, excessive worry, irritability, sweating, tremors",0.191,Can significantly improve quality of life in individuals with anxiety when treated effectively,0.3,0.05,"Generally effective, with approximately 70% of patients reporting symptom relief",Considered safe when used as directed; risks increase with misuse,"Sedation, dizziness, confusion, dependency, withdrawal symptoms upon discontinuation",849.5006549,854.53722,825.9710283,800.7330247,864.7916667,Adults (commonly prescribed to middle-aged adults),"More commonly prescribed to females, though anxiety disorders affect both genders",Benzodiazepine (small molecule),18 and older,265472419.8,266439117.8,267499117.8,268599117.8,270179117.8,43074127945,50705232.18,43487289318,50889871.5,42200785587,51092331.5,41079551149,51302431.5,44626892072,51604211.5,3,1.1833098364459564e-05,1.5720220476546967e-05,1.9572408826242632e-08,2.5339929551001263e-08,2.9067395013017757e-08,59662440.86,0.509921131,59868638.63,0.680020427,60100778.63,0.850110975,60341678.63,1.105258628195027,60699458.63,1.275239005288951
