Disease,Symptoms,Prevalence,Prevalence Rate_2023,Prevalence Rate_2022,Prevalence Rate_2021,Prevalence Rate_2020,Prevalence Rate_2019,Annual_therapy_Cost_2023,Average_therapy_cost_2019,Average_therapy_cost_2020,Average_therapy_cost_2021,Average_therapy_cost_2022,Annual_Therapy_Costs,Quality_of_Life,Morbidity,Mortality,Efficacy,Safety,Adverse_Events,Age_Group,Gender,Type_of_Drug,Target Population 2019,Target Population 2020,Target Population 2021,Target Population 2022,Target Population 2023,Market_Size_2019,Patient_Pool_2019,Market_Size_2020,Patient_Pool_2020,Market_Size_2021,Patient_Pool_2021,Market_Size_2022,Patient_Pool_2022
Absence Seizures,"Brief episodes of staring, loss of consciousness, and slight twitching or movements; often occurs in children.",Approximately 0.1% to 0.2% of the general population in the USA have absence seizures.,0.0015,0.00149,0.00148,0.00147,0.00146,6000,5893.909627,5928.853755,5730.659026,5555.555556,"Estimated annual therapy costs are around $5,000 to $7,000, depending on insurance coverage and geographic location.","Can be significantly affected due to disruptions in schooling and daily activities, but often improve with treatment.",25.5,0.01,Efficacy rate for control of absence seizures with ethosuximide is approximately 60% to 80%.,Generally welltolerated; longterm safety data shows lower risk compared to other antiepileptic drugs.,"Common adverse events include gastrointestinal symptoms (nausea, vomiting), dizziness, fatigue; serious reactions can be rare but may include rash and blood dyscrasias.","Primarily prescribed for children, typically between ages 2 and 12.",Affects both genders similarly; no significant gender disparity noted.,Small molecule anticonvulsant.,103677000,102731000,101785000,100839000,99893000,892151787.8,151368.42,895343300.4,151014.57,863276790.8,150641.8,834722833.3,150250.11
Achondroplasia,"Short stature, disproportionate limb size, frequent ear infections, joint pain, and limited range of motion.","Approximately 1 in 15,000 to 1 in 40,000 live births in the USA.",0.000046,0.000036,0.000026,0.000016,0.000006,385000,378192.5344,380434.7826,367717.2875,356481.4815,"Approximately $320,000 to $450,000, depending on the individual's treatment plan.","Quality of life can be affected by physical limitations and associated health complications, though many individuals lead fulfilling lives with appropriate support.",0.25,0.05,Clinical studies have shown significant improvement in growth rates in children treated with VOXZOGO.,Generally welltolerated but requires monitoring; longterm safety data is still being gathered.,"Common adverse events include injection site reactions, headaches, and fewer instances of respiratory infections.",Primarily indicated for children aged 2 years and older.,Affects both genders equally.,Small molecule therapy.,133877777.8,132702222.2,131526666.7,130351111.1,129175555.6,303789456.5,803.2666668,807752656.9,2123.235555,1257480357,3419.693334,1672839259,4692.64
Acne,"Characterized by the presence of comedones (blackheads and whiteheads), papules, pustules, occasionally cysts, and scars. Common symptoms include inflammation, redness, and skin tenderness.","Approximately 2030% of adolescents and young adults in Switzerland experience acne, with varying severity.",0.25,0.24999,0.24998,0.24997,0.24996,125000,122789.7839,123517.7866,119388.7297,115740.7407,"Approximately CHF 180300, depending on the frequency of application and additional therapies used in combination.","Acne can significantly impact the quality of life due to its effects on selfesteem, social interactions, and psychological wellbeing.",0.3,0,Generally effective in reducing lesions and improving overall skin appearance; results may vary based on individual skin types and severity of acne.,Generally welltolerated; side effects are usually mild and resolve after discontinuation.,"Possible adverse events include skin irritation, dryness, and allergic reactions, though serious adverse events are rare.","Most common in adolescents (ages 1224), but can affect individuals of all ages.","Affects both genders, but prevalence and severity can vary; generally, males may experience more severe forms of acne.",Topical medication (cream formulation).,346972500,343882500,340792500,337702500,334612500,1.06495E+13,86729246.1,1.06176E+13,85960308.53,1.01709E+13,85191309.15,9.77109E+12,84422247.98
Acromegaly,"Enlarged hands and feet, facial changes (such as a protruding jaw), joint pain, thickened skin, headaches, and vision problems.","Approximately 23 cases per 100,000 people in Switzerland.",0.000025,0.000015,0.000005,0.000005,0.000015,700,687.6227898,691.6996047,668.5768863,648.1481481,"Approximately CHF 6,000 to CHF 12,000, depending on regional pricing and treatment length.","Quality of life can be significantly impaired, with many patients experiencing emotional distress and physical limitations due to symptoms. Quality of life scores may drop by 2030% compared to the general population.",0.3,0.1,Efficacy rates of Octreotide in controlling growth hormone levels can exceed 6080% in properly selected patients.,Generally considered safe when used as directed; monitoring is essential to mitigate risks.,"Common adverse events include gastrointestinal issues (nausea, diarrhea, abdominal pain) and gallstones.",Adults typically aged between 30 and 50 years.,"Slightly more common in men than women, with a maletofemale ratio of about 1.3:1.",Somatostatin analogue (small molecule).,284016666.7,281513333.3,279010000,276506666.7,274003333.3,2929444.991,4260.250001,973613.3069,1407.566667,932698.1853,1395.05,2688259.26,4147.600001
Actinic Keratosis,"Rough, scaly patches on the skin, redness, burning, or itchiness in affected areas",Approximately 15% of the population over 40 years old in Switzerland,0.15,0.14999,0.14998,0.14997,0.14996,12500,12278.97839,12351.77866,11938.87297,11574.07407,"Approximately 1,200  1,500 CHF",Can significantly impact quality of life due to cosmetic concerns and discomfort,0.25,0.01,Demonstrated efficacy in clearing lesions in 7080% of patients after treatment,Generally welltolerated with a favorable safety profile,"Localized skin reactions such as erythema, pain, and peeling at the application site are common",Primarily adults aged 40 and above,More common in males due to higher sun exposure in occupations and outdoor activities,Topical gel (small molecules),406000000,402400000,398800000,395200000,391600000,7.4759E+11,60883760,7.45404E+11,60347928,7.14088E+11,59812024,6.86065E+11,59276048
Acute Lymphoblastic Leukemia (ALL),"Fatigue, fever, frequent infections, easy bruising or bleeding, bone pain, swollen lymph nodes, paleness, shortness of breath","Approximately 1.5 per 100,000 per year in Switzerland",0.000015,0.000005,0.000005,0.000015,0.000025,750,736.7387033,741.1067194,716.3323782,694.4444444,"Estimated around CHF 30,000 to CHF 60,000, depending on the treatment regimen and supportive care.",Varies significantly; treatment can result in both physical and psychological challenges. Supportive care is essential for improving quality of life.,0.3,0.05,Generally effective; remission rates can be as high as 8090% in children.,Generally monitored closely; may pose risks that require careful management.,"Common adverse events include nausea, vomiting, immunosuppression, and risk of infections.","Primarily children and young adults, but can occur at any age.","Affects both genders, with a slight male predominance.",Antineoplastic agent (small molecules).,381740000,378360000,374980000,371600000,368220000,7031065.815,9543.5,4206077.075,5675.4,1343051.576,1874.9,1290277.778,1858
Acute Myeloid Leukemia (AML),"Fatigue, fever, easy bruising or bleeding, recurrent infections, weight loss, shortness of breath, pale skin.","Approximately 3.2 cases per 100,000 people per year in Switzerland.",0.000032,0.000022,0.000012,0.000002,0.000008,150000,147347.7407,148221.3439,143266.4756,138888.8889,"Approximately CHF 30,000 to CHF 60,000, depending on treatment length and response.",Generally poor during treatment due to symptoms and side effects; significant impact on daily activities and emotional wellbeing.,0.65,305.3,"Typically effective in inducing remission in AML patients, with complete remission rates of about 5070% after induction therapy.","Managed under medical supervision; safety profile acceptable, but with significant risks during treatment.","Common adverse events include nausea, vomiting, mucositis, febrile neutropenia, hepatotoxicity, and risk of infection.","Primarily affects older adults, typically over 60 years; however, it can occur in younger adults as well.",Slightly more prevalent in males than females (male to female ratio approximately 1.3:1).,Small molecule (cytarabine).,331293333.3,328353333.3,325413333.3,322473333.3,319533333.3,390522593.3,2650.346666,97337944.65,656.7066666,559449856.7,3904.96,985335185.1,7094.413333
Acute Respiratory Distress Syndrome (ARDS),"Severe shortness of breath, rapid breathing, low blood oxygen levels, and respiratory failure.",Approximately 13% of patients admitted to intensive care units in Italy can develop ARDS.,0.02,0.01999,0.01998,0.01997,0.01996,7500,7367.387033,7411.067194,7163.323782,6944.444444,"Costs can range from 30,000 to 100,000 depending on the severity of the case and required interventions.","Patients who survive ARDS may experience longterm impacts on their quality of life, including ongoing respiratory issues and physical limitations.",0.4,0.3,"Clinical studies indicate a variety of intervention success rates, with some therapies showing a reduction in mortality rates by 1020%.",Generally welltolerated but can have potential side effects; monitoring is essential.,"Common adverse events include hypotension, hyperglycemia, and infections related to ventilation or treatment interventions.",Primarily affects adults but can also impact older children and adolescents.,"More common in males than females, with a ratio of approximately 2:1.",Small molecules used in combination with supportive therapies such as mechanical ventilation and other critical care interventions.,406000000,402400000,398800000,395200000,391600000,59703536346,8103760,59554802372,8035928,57077535817,7968024,54861444444,7900048
Alagille Syndrome,"Cholestasis, jaundice, itching, growth failure, heart defects, skeletal abnormalities","Approximately 1 in 30,000 live births in the USA",0.000033,0.000023,0.000013,0.000003,0.000007,350,343.8113949,345.8498024,334.2884432,324.0740741,"Estimated around $100,000  $150,000",Significantly impacted due to chronic symptoms such as itching and growth retardation,0.4,0.05,Clinical trials show BYLVAY is effective in improving pruritus and liver function parameters in patients,"Generally welltolerated, with ongoing monitoring necessary","Commonly reported events include diarrhea, abdominal pain, and vomiting; rare but serious events such as liver injury",Approved for patients 1 year and older,No genderspecific differences in prevalence or treatment efficacy,Small molecule; bile acid modulator,196620000,194820000,193020000,191220000,189420000,473201.3752,1376.34,202135.3755,584.46,838816.6189,2509.26,1425297.222,4398.06
Alcohol Use Disorder,"Craving for alcohol, loss of control over drinking, withdrawal symptoms, continued use despite problems, and increased tolerance.",Approximately 45% of the Swiss population experience alcohol use disorder.,0.045,0.04499,0.04498,0.04497,0.04496,13500,13261.29666,13339.92095,12893.98281,12500,Approximately CHF 600800 per year in Switzerland.,"Can be significantly impaired due to social, occupational, and healthrelated consequences of alcohol use.",0.3,0.1,Campral (Acamprosate) has been shown to reduce the risk of relapse in patients who are abstinent after detoxification; approximately 38% efficacy in maintaining abstinence.,Generally welltolerated; lower risk of severe side effects compared to other drugs for alcohol dependence.,"Common adverse events include gastrointestinal symptoms (diarrhea, nausea), headache, and anxiety in some patients.",Primarily adults (1865 years).,"Affected both genders, but typically more common in men.",Small molecules.,369010909.1,365732121.2,362453333.3,359174545.5,355895757.6,2.20015E+11,16590730.47,2.19401E+11,16446973.49,2.10213E+11,16303150.93,2.01991E+11,16159262.8
